word,condition,x,y,frequency,point_size,label_size,alpha,x_plot,y_plot
less_anxious,3,6.7035904,14.987015,2,104.44444444444444,7.444444444444445,0.5888888888888889,6.643590393066406,14.88309172205368
like,1,-10.092098,-5.759815,1,80.0,7.0,0.55,-9.972098236083985,-5.759815216064453
liked,1,-15.802487,-2.651496,3,128.88888888888889,7.888888888888889,0.6277777777777778,-15.682487373352052,-2.651495933532715
liked,2,-15.802488,-2.651496,2,104.44444444444444,7.444444444444445,0.5888888888888889,-15.862488327026368,-2.547572885078582
little_bothered,1,10.117723,-0.25499168,1,80.0,7.0,0.55,10.23772346496582,-0.25499168038368225
little_worried,1,14.088386,11.196119,1,80.0,7.0,0.55,14.208385581970214,11.19611930847168
monotonous,2,-0.76780194,-11.656125,1,80.0,7.0,0.55,-0.8278019404411315,-11.552202020210418
nervous,1,11.433514,15.103152,2,104.44444444444444,7.444444444444445,0.5888888888888889,11.553513641357421,15.10315227508545
nervous,2,11.433514,15.103152,1,80.0,7.0,0.55,11.373513641357421,15.207075323539582
nervous,3,11.433514,15.103152,3,128.88888888888889,7.888888888888889,0.6277777777777778,11.373513641357421,14.999229226631316
peaceful,1,-19.79473,6.3297105,1,80.0,7.0,0.55,-19.674729232788085,6.329710483551025
peaceful,3,-19.79473,6.3297105,2,104.44444444444444,7.444444444444445,0.5888888888888889,-19.854729232788085,6.225787435096893
perfect,3,-8.283784,-4.122387,1,80.0,7.0,0.55,-8.343783912658692,-4.226309980827179
pleasant,2,-23.505133,4.8548408,3,128.88888888888889,7.888888888888889,0.6277777777777778,-23.565132675170897,4.958763803916779
positive,1,-15.599816,0.60585606,2,104.44444444444444,7.444444444444445,0.5888888888888889,-15.479816322326661,0.6058560609817505
positive,2,-15.599816,0.60585606,1,80.0,7.0,0.55,-15.65981632232666,0.7097791094358832
relax,1,-6.444061,-13.794637,3,128.88888888888889,7.888888888888889,0.6277777777777778,-6.324060802459717,-13.794636726379395
relaxed,1,-6.7170196,-13.466442,1,80.0,7.0,0.55,-6.597019557952881,-13.466442108154297
relaxed,2,-6.7170196,-13.466443,5,177.77777777777777,8.777777777777779,0.7055555555555556,-6.7770195579528805,-13.36252001337448
relaxed,3,-6.7170196,-13.466442,1,80.0,7.0,0.55,-6.777019557952881,-13.57036515660843
relaxing,1,-8.645771,-13.377935,9,275.55555555555554,10.555555555555555,0.8611111111111112,-8.525771026611329,-13.377935409545898
relaxing,2,-8.645771,-13.377935,2,104.44444444444444,7.444444444444445,0.5888888888888889,-8.705771026611329,-13.274012361091765
repetitive,2,8.059082,-6.299057,1,80.0,7.0,0.55,7.99908203125,-6.195133958381805
serene,1,-12.729018,-5.2266865,1,80.0,7.0,0.55,-12.609018211364747,-5.226686477661133
some_anxiety,2,7.4031506,13.492628,1,80.0,7.0,0.55,7.34315055847168,13.596551145988313
tiresome,2,0.21142712,-12.946907,1,80.0,7.0,0.55,0.15142712235450748,-12.842983995002898
trust,2,-10.60023,-0.8180347,1,80.0,7.0,0.55,-10.660230216979981,-0.7141116600457758
trust,3,-10.600229,-0.8180347,1,80.0,7.0,0.55,-10.660229263305665,-0.921957756954041
tune_out,2,-8.020497,-12.963024,4,153.33333333333331,8.333333333333334,0.6666666666666667,-8.08049732208252,-12.859101090950164
useful,1,-8.738964,-7.3554935,1,80.0,7.0,0.55,-8.618964080810548,-7.355493545532227
useful,2,-8.738964,-7.3554935,1,80.0,7.0,0.55,-8.798964080810547,-7.251570497078094
valuable,2,-12.719483,4.10286,1,80.0,7.0,0.55,-12.779483375549317,4.206783022361603
very relaxing,3,-23.754156,3.0383093,1,80.0,7.0,0.55,-23.814156112670897,2.9343862872544855
very_nervous,3,11.255008,15.314921,2,104.44444444444444,7.444444444444445,0.5888888888888889,11.195007743835449,15.210998330635222
zen,1,-5.031804,-6.1592197,1,80.0,7.0,0.55,-4.911804084777832,-6.159219741821289
